KabKot,NamaProv,Produk,CV_Post-2,CV_Post-Intervention,CV_Pre-Intervention,Mean_Price_Post-2,Mean_Price_Post-Intervention,Mean_Price_Pre-Intervention,Variance_Post-2,Variance_Post-Intervention,Variance_Pre-Intervention,Variance_Change_Post1,Variance_Change_Post2,Price_Change_Post1,Pre_Event_Avg,Peak_Price,Post_Event_Avg,Days_to_Peak,Price_Spike,Recovery_Level,Cluster,Probability,Cluster_Label
Mamasa,Sulawesi Barat,Minyak Goreng Curah,0.0907881884478728,0.07237503166931405,0.1375754877278551,15655.636363636364,16099.333333333334,19770.47667100694,2020226.9090909099,1357667.176470588,7398035.364698167,-81.64827404111796,-72.69238643098413,-18.568815505886487,19312.980003720237,23380.0,15155.8,0.0,21.058479817699485,-21.52531614965399,0,1.0,High Success
Mamuju,Sulawesi Barat,Minyak Goreng Curah,0.07240858012000728,0.06702455472967417,0.065170337073511,15717.818181818182,14453.5,17848.8644489914,1295282.756871035,938456.0285714292,1353072.6549996026,-30.642598894905255,-4.271012196945512,-19.022859738190597,18196.140004960314,20000.0,14352.0,0.0,9.913421168159559,-21.1261289697287,0,0.9999999998551283,High Success
Mamuju Utara,Sulawesi Barat,Minyak Goreng Curah,0.04513400298724919,0.057365878167544876,0.08242355582036894,16410.909090909092,14414.444444444445,17822.39630180776,548621.7056277047,683759.0849673202,2157917.7423821925,-68.31394118792974,-74.57633834447905,-19.12173761402466,17412.9644510582,19800.0,14480.4,0.0,13.708381221651997,-16.841270533231842,0,1.0,High Success
Manado,Sulawesi Utara,Minyak Goreng Curah,0.06008067323016332,0.10685598214791989,0.12872687748193973,16241.363636363636,14510.611111111111,19717.143337673613,952170.1471861489,2404191.663398693,6442085.087962049,-62.67991449086466,-85.21953475955458,-26.406118459434047,22396.980003720237,22367.0,13263.4,0.0,-0.13385734913928976,-40.780408797092775,0,0.9999999999989724,High Success
Mandailing Natal,Sumatera Utara,Minyak Goreng Curah,0.09436977579473445,0.019106415926212338,0.09872476598765936,17644.81818181818,15067.333333333334,17065.244431492505,2772683.0129870125,82876.47058823536,2838423.8829006674,-97.08019400881234,-2.316104733676084,-11.70748597349236,15633.194537037038,19172.0,15102.4,30.0,22.63648325093812,-3.395304368403514,1,1.0,High Success
Manggarai,Nusa Tenggara Timur,Minyak Goreng Curah,0.10713894888663177,0.11251759821962036,0.1941293068933091,18552.78496121934,17233.810417161283,19058.067919146826,3951054.1726890015,3760135.788014724,13687998.490596578,-72.52968875911351,-71.13490204281284,-9.572100958632799,19968.4375,25000.0,16863.840578703705,30.0,25.197577426876787,-15.54752053732945,1,0.9999999999999964,High Success
Manggarai Barat,Nusa Tenggara Timur,Minyak Goreng Curah,0.10693623026377463,0.1177006599830245,0.21942403096107915,18666.421324855703,17007.50486160573,18588.067919146826,3984481.9957753057,4007181.4079004563,16635539.1033942,-75.91192336482285,-76.04837468139317,-8.503105671961867,19968.4375,25000.0,16863.840578703705,30.0,25.197577426876787,-15.54752053732945,1,0.9999999999999707,High Success
Manggarai Timur,Nusa Tenggara Timur,Minyak Goreng Curah,0.10577403901539682,0.11426214743699654,0.23375927225470688,18484.60314303752,18082.56044726557,18900.803335813493,3822772.370612108,4268984.863414617,19520827.314560812,-78.1311273614396,-80.4169551371388,-4.329143444382105,19968.4375,25000.0,17237.01341435185,30.0,25.197577426876787,-13.678707137942808,1,0.9999999999990603,High Success
Manokwari,Papua,Minyak Goreng Curah,0.07102978447606231,0.21786254380301365,0.14890823644089282,19598.0,17584.26388888889,22006.618185200216,1937780.139534882,14676196.7640873,10738510.779034477,36.668827420098474,-81.95485221919094,-20.09556515723722,22729.980003720237,25000.0,16638.5,0.0,9.98689834266562,-26.79931967702232,0,0.9999999732503116,High Success
Mappi,Papua Barat,Minyak Goreng Curah,0.0633926559022448,0.11117395539766908,0.0548807639680148,18404.714285714286,15165.611111111111,15479.749174572173,1361244.238095238,2842666.722222224,721718.9944237416,293.8744503311789,88.611391499004,-2.029348537359253,15854.940011160716,15822.450009300597,14000.0,0.0,-0.2049203707945144,-11.699445156241358,0,0.9994995050283907,High Success
